pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
GJ 328 b,1,4.11,13.3,0.63,20.5266
GJ 328 c,1,0.657,4.91,0.63,20.5266
GJ 3293 b,1,0.14339,5.19,0.4,20.1903
GJ 3293 c,1,0.36175,4.87,0.4,20.1903
GJ 3293 d,1,0.19394,2.67,0.4,20.1903
GJ 3293 e,1,0.08208,1.63,0.4,20.1903
GJ 3323 b,1,0.03282,1.23,0.12,5.37484
GJ 3323 c,1,0.1264,1.32,0.12,5.37484
GJ 3341 b,1,0.089,2.46,0.44,23.619
GJ 338 B b,2,0.142,3.25,0.58,6.33256
GJ 3470 b,1,0.0355,4.57,0.55,29.4214
GJ 3473 b,2,0.01589,1.264,0.36,27.3644
GJ 3473 c,2,0.0876,2.63,0.36,27.3644
GJ 3512 b,1,0.337,14.3,0.14,9.48637
GJ 3512 c,1,1.292,9.32,0.14,9.48637
GJ 357 b,1,0.036,1.2,0.34,9.44181
GJ 357 c,1,0.061,1.66,0.34,9.44181
GJ 357 d,1,0.204,2.34,0.34,9.44181
GJ 3634 b,1,0.0287,2.83,0.43,20.3779
GJ 367 b,1,0.00709,0.699,0.46,9.41263
GJ 367 c,1,0,1.86,0.46,9.41263
GJ 367 d,1,0,2.33,0.46,9.41263
GJ 3779 b,1,0.026,2.75,0.28,13.743
GJ 3929 b,1,0.0252,1.09,0.32,15.8095
GJ 3929 c,1,0.081,2.26,0.32,15.8095
GJ 393 b,1,0.05402,1.17,0.43,7.03149
GJ 3942 b,1,0.0608,2.57,0.61,16.9287
GJ 3988 b,1,0.0405,1.74,0.2,9.9105
GJ 3998 b,1,0.029,1.38,0.49,18.1459
GJ 3998 c,1,0.089,2.38,0.49,18.1459
GJ 411 b,1,0.07879,1.45,0.37,5.675773
GJ 414 A b,2,0.2324,2.63,0.68,11.8893
GJ 414 A c,2,1.4,8.4,0.68,11.8893
GJ 422 b,1,0.111,3.33,0.37,12.6631
GJ 4276 b,1,0.082,4.22,0.41,21.3362
GJ 433 b,1,0.062,2.33,0.5,9.06456
GJ 433 c,1,4.819,6.27,0.47,9.06456
GJ 433 d,1,0.178,2.14,0.47,9.06456
GJ 436 b,1,0.0291,4.17,0.46,9.75321
GJ 463 b,1,3.53,13,0.49,18.3554
GJ 480 b,1,0.068,3.69,0.46,14.2358
GJ 486 b,1,0.01714,1.289,0.32,8.07426
GJ 504 b,1,43.5,13,1.26,17.5299
GJ 514 b,1,0.422,2.13,0.5,7.61778
GJ 536 b,1,0.06661,2.17,0.5,10.4092
GJ 581 b,1,0.04061,4.11,0.33,6.2981
GJ 581 c,1,0.0721,2.21,0.33,6.2981
GJ 581 e,1,0.02815,1.17,0.33,6.2981
GJ 625 b,1,0.078361,1.49,0.31,6.47249
GJ 649 b,1,1.112,10.8,0.5,10.3796
GJ 667 C b,3,0.050431,2.25,0,7.24396
GJ 667 C c,3,0.125,1.77,0,7.24396
GJ 667 C e,3,0.213,1.45,0,7.24396
GJ 667 C f,3,0.156,1.45,0,7.24396
GJ 667 C g,3,0.549,1.99,0,7.24396
GJ 674 b,1,0.039,3.33,0.36,4.54896
GJ 676 A b,2,1.735,12.8,0.69,16.0272
GJ 676 A c,2,9.726,12.3,0.65,16.0272
GJ 676 A d,2,0.039,1.78,0.65,16.0272
GJ 676 A e,2,0.181,2.47,0.65,16.0272
GJ 680 b,2,10.138,12,0.46,9.67315
GJ 682 b,1,0.08,1.93,0.3,5.00671
GJ 682 c,1,0.176,2.89,0.3,5.00671
GJ 685 b,1,0.1344,2.95,0.54,14.3155
GJ 687 b,1,0.163,4.32,0.42,4.54939
GJ 687 c,1,1.165,4.14,0.42,4.54939
GJ 720 A b,2,0.119,3.77,0.56,15.5575
GJ 724 b,1,0.04685,3.27,0.52,16.9658
GJ 740 b,1,0.029,1.53,0.56,11.1017
GJ 806 b,1,0.01406,1.331,0.41,12.0445
GJ 806 c,1,0.0523,2.28,0.41,12.0445
GJ 832 b,1,3.7,13.8,0.44,4.96435
GJ 849 b,1,2.32,13.9,0.45,8.80058
GJ 849 c,1,4.95,13.8,0.45,8.80058
GJ 86 b,2,0.11,12.9,0.77,10.7836
GJ 876 b,1,0.208317,13.3,0.3,4.67517
GJ 876 c,1,0.12959,14,0.3,4.67517
GJ 876 d,1,0.020807,2.51,0.3,4.67517
GJ 876 e,1,0.3343,3.92,0.3,4.67517
GJ 887 b,1,0.068,1.88,0.47,3.29
GJ 887 c,1,0.12,2.67,0.47,3.29
GJ 896 A b,2,0.63965,13.3,0.39,6.26022
GJ 900 b,3,12000,12.4,0.72,20.8065
GJ 9066 c,1,0.88,9.6,0.16,4.471
GJ 9404 b,1,0.0943,3.48,0.63,23.8839
GJ 96 b,1,0.291,4.67,0.58,11.9315
GJ 9689 b,1,0.1139,3.07,0.57,30.6203
GJ 9714 b,1,12.319,12.5,0.66,20.5121
GJ 9827 b,1,0.0189,1.44,0.58,29.661
GJ 9827 c,1,0.0395,1.13,0.58,29.661
GJ 9827 d,1,0.0563,1.89,0.58,29.661
GPX-1 b,1,0.0338,16.477,1.56,655.013
GQ Lup b,1,100,33.6,1.94,151.169
GSC 06214-00210 b,1,320,20.176,0.9,108.5
GU Psc b,1,2000,14.179,0.45,47.5501
Gaia-1 b,1,0.04047,13.776,0.95,363.66
Gaia-2 b,1,0.0467,14.818,1.06,209.229
Gaia22dkvL b,1,1.4,14.1,0,1270
Gl 378 b,1,0.039435,3.66,0.56,14.9545
Gl 49 b,2,0.0905,2.24,0.51,9.8528
Gl 686 b,1,0.091,2.46,0.43,8.15728
Gliese 12 b,1,0.0668,0.958,0.26,12.21
HAT-P-1 b,2,0.05561,14.785,1.17,158.979
HAT-P-11 b,1,0.05254,4.36,0.68,37.7647
HAT-P-11 c,1,4.13,13.3,0.68,37.7647
HAT-P-12 b,1,0.0384,10.749,0.7,142.751
HAT-P-13 b,1,0.04383,14.258,1.76,246.81
HAT-P-13 c,1,1.258,12.3,1.76,246.81
HAT-P-14 b,2,0.0596,15.917,1.82,222.663
HAT-P-15 b,1,0.0965,11.882,1.07,192.516
HAT-P-16 b,3,0.0413,14.448,1.24,226.637
HAT-P-17 b,1,0.0882,11.769,0.87,92.3831
HAT-P-17 c,1,5.6,13.1,0.84,92.3831
HAT-P-18 b,1,0.0559,11.153,0.75,161.4
HAT-P-19 b,1,0.04599,11.299,0.77,202.078
HAT-P-2 b,1,0.06814,10.66,1.39,127.774
HAT-P-2 c,1,0,12.4,1.42,127.774
HAT-P-20 b,1,0.0361,9.718,0.69,71.0374
HAT-P-21 b,1,0.0494,12.442,1.21,277.278
HAT-P-22 b,2,0.0414,12.89,1.11,81.7647
HAT-P-23 b,1,0.0232,15.334,1.2,364.813
HAT-P-24 b,2,0.04651,14.572,1.38,415.344
HAT-P-25 b,1,0.0466,12.722,0.92,300.384
HAT-P-26 b,1,0.0479,7.062,0.87,141.837
HAT-P-27 b,2,0.04,11.43,0.86,199.173
HAT-P-28 b,1,0.0434,13.585,1.1,401.319
HAT-P-29 b,2,0.0667,13.115,1.3,313.576
HAT-P-3 b,2,0.03866,10.536,0.87,134.554
HAT-P-30 b,2,0.0419,16.141,1.31,213.985
HAT-P-31 b,1,0.061,12.218,1.39,344.05
HAT-P-32 b,2,0.03397,22.194,1.37,289.205
HAT-P-33 b,2,0.04995,20.737,1.79,396.11
HAT-P-34 b,1,0.06774,13.417,1.53,249.325
HAT-P-35 b,3,0.04978,14.93,1.44,506.965
HAT-P-36 b,1,0.0241,14.314,1.04,294.419
HAT-P-37 b,1,0.0379,13.204,0.88,390.594
HAT-P-38 b,1,0.0523,9.247,0.92,255.206
HAT-P-39 b,2,0.0509,17.609,1.62,697.004
HAT-P-4 b,2,0.04438,14.28,1.62,320.451
HAT-P-40 b,1,0.0608,17.038,1.94,464.469
HAT-P-41 b,2,0.04258,22.978,2.05,348.185
HAT-P-42 b,1,0.0575,14.348,1.53,405.238
HAT-P-43 b,1,0.0444,13.63,1.08,528.825
HAT-P-44 b,1,0.0507,13.922,0.95,347.85
HAT-P-44 c,1,1.752,13,0.95,347.85
HAT-P-45 b,1,0.0452,15.984,1.32,298.64
HAT-P-46 b,1,0.0577,14.392,1.4,290.736
HAT-P-49 b,1,0.04378,17.822,2.06,350.351
HAT-P-5 b,1,0.04073,13.563,1.12,303.336
HAT-P-50 b,1,0.0453,14.437,1.7,515.458
HAT-P-51 b,1,0.05042,13.507,0.99,440.089
HAT-P-52 b,1,0.03694,11.31,0.89,361.155
HAT-P-53 b,1,0.03159,14.773,1.21,666.802
HAT-P-54 b,1,0.04117,10.581,0.62,143.651
HAT-P-55 b,1,0.04628,14.841,1.1,511.388
HAT-P-56 b,1,0.0423,16.926,1.47,320.639
HAT-P-57 b,3,0.0406,19.504,1.85,279.86
HAT-P-58 b,1,0.04994,14.93,1.53,515.59
HAT-P-59 b,1,0.05064,12.588,1.1,265.471
HAT-P-6 b,1,0.05239,16.589,1.62,275.358
HAT-P-60 b,1,0.06277,18.282,2.2,233.22
