pl_name,sy_snum,pl_orbsmax,pl_rade,st_rad,sy_dist
Kepler-1714 b,1,0.1047,3.264,2.09,409.46
Kepler-1715 b,1,0.2178,4.14,1.21,522.605
Kepler-1716 b,1,0.1916,2.425,0.68,195.439
Kepler-1717 b,1,0.2014,2.989,1.64,1008.79
Kepler-1718 b,1,0.4878,2.569,0.91,375.522
Kepler-1719 b,1,0.0674,3.95,1.78,905.406
Kepler-172 b,1,0.04,2.35,1.08,828.592
Kepler-172 c,1,0.068,2.86,1.08,828.592
Kepler-172 d,1,0.118,2.25,1.08,828.592
Kepler-172 e,1,0.211,2.76,1.08,828.592
Kepler-1720 b,1,0.1043,3.216,0.84,629.445
Kepler-1721 b,1,0.0519,3.119,0.8,641.374
Kepler-1722 b,1,0.0819,2.867,0.79,772.283
Kepler-1723 b,1,0.2249,2.88,1.01,811.278
Kepler-1724 b,1,0.0683,2.837,0.94,1060.77
Kepler-1725 b,1,0.1302,2.813,1.08,558.652
Kepler-1726 b,1,0.1306,2.509,0.8,390.552
Kepler-1727 b,1,0.0796,3.173,0.82,894.187
Kepler-1728 b,1,0.0535,2.955,0.81,651.783
Kepler-1729 b,1,0.0418,3.894,0.52,576.181
Kepler-173 b,1,0.048,1.29,0.95,833.165
Kepler-173 c,1,0.074,2.43,0.95,833.165
Kepler-1730 b,1,0.1131,4.485,1.14,1427.08
Kepler-1731 b,1,0.1401,2.933,0.72,169.948
Kepler-1732 b,1,0.2015,4.099,1.49,1289.41
Kepler-1733 b,1,0.0933,3.636,1.25,2080.51
Kepler-1734 b,1,0.0714,3.089,0.97,1482.83
Kepler-1735 b,1,0.0621,1.194,0.51,245.303
Kepler-1736 b,1,0.2188,3.877,0.97,1430
Kepler-1737 b,1,0.297,5.395,0.88,0
Kepler-1738 b,1,0.0781,2.825,1,1302.87
Kepler-1739 b,1,0.0697,2.431,0.76,783.666
Kepler-174 b,1,0.1,1.96,0.62,384.757
Kepler-174 c,1,0.214,1.49,0.62,384.757
Kepler-174 d,1,0.677,2.19,0.62,384.757
Kepler-1740 b,1,0.0779,3.323,0.91,1061.77
Kepler-1741 b,1,0.0296,1.273,0.42,270.739
Kepler-1742 b,1,0.2587,2.178,0.85,669.573
Kepler-1743 b,1,0.0822,1.599,1.61,538.807
Kepler-1744 b,1,0.2093,3.768,0.85,1091.63
Kepler-1745 b,1,0.0408,1.929,1.4,996.105
Kepler-1746 b,1,0.9453,8.935,1.29,979.541
Kepler-1747 b,1,0.066,4.265,0.86,1321.38
Kepler-1748 b,1,0.0615,2.713,0.86,1083.28
Kepler-1749 b,1,0.0956,1.613,0.55,268.2
Kepler-175 b,1,0.105,2.56,1.01,1312.34
Kepler-175 c,1,0.213,3.1,1.01,1312.34
Kepler-1750 b,1,0.6785,6.004,0.97,1497.33
Kepler-1751 b,1,0.0712,1.824,0.97,1291.47
Kepler-1752 b,1,0.2698,4.541,0.82,962.888
Kepler-1753 b,1,0.1179,2.227,0.77,707.688
Kepler-1754 b,1,0.0718,2.44,0.75,718.945
Kepler-1755 b,1,0.1668,5.917,0.92,982.383
Kepler-1756 b,1,0.0319,1.472,0.81,0
Kepler-1757 b,1,0.1335,2.947,0.74,807.308
Kepler-1758 b,1,0.0919,2.571,1.62,1588.41
Kepler-1759 b,1,0.0429,0.904,0.8,385.348
Kepler-176 b,1,0.058,1.43,0.89,527.321
Kepler-176 c,1,0.102,2.6,0.89,527.321
Kepler-176 d,1,0.163,2.51,0.89,527.321
Kepler-176 e,1,0.2494,1.45,0.83,527.321
Kepler-1760 b,1,0.2084,2.29,0.9,0
Kepler-1761 b,1,0.0413,1.391,0.53,221.186
Kepler-1762 b,1,0.204,2.76,1.24,1663.74
Kepler-1763 b,1,0.0257,1.147,1.26,756.486
Kepler-1764 b,1,0.3512,4.555,1.13,1542.48
Kepler-1765 b,1,0.0917,2.495,1.06,764.456
Kepler-1766 b,1,0.4229,2.279,1.04,501.229
Kepler-1767 b,1,0.2873,3.013,0.83,820.506
Kepler-1768 b,1,0.1286,2.233,1.57,632.766
Kepler-1769 b,1,0.3987,4.465,1.3,438.412
Kepler-177 b,1,0.2184,3.5,1.32,1435.44
Kepler-177 c,1,0.2655,8.73,1.32,1435.44
Kepler-1770 b,1,0.1261,2.841,1.01,582.942
Kepler-1771 b,1,0.3815,4.055,0.93,565.752
Kepler-1772 b,1,0.0418,2.686,0.93,871.564
Kepler-1773 b,1,0.2489,3.505,1.3,681.255
Kepler-1774 b,1,0.3096,3.182,1.12,816.592
Kepler-1775 b,1,0.3986,3.648,1.65,657.023
Kepler-1776 b,1,0.2124,2.612,1.15,690.336
Kepler-1777 b,1,0.1031,2.132,1.07,619.146
Kepler-1778 b,1,0.0956,3.017,1.09,1276.29
Kepler-1779 b,1,0.1264,3.033,1.06,908.501
Kepler-178 b,1,0.085,2.9,1.07,716.025
Kepler-178 c,1,0.142,2.88,1.07,716.025
Kepler-178 d,1,0.397,3.95,1.07,716.025
Kepler-1780 b,1,0.4276,3.606,0.87,790.516
Kepler-1781 b,1,0.0574,2.381,0.96,962.63
Kepler-1782 b,1,0.0582,2.229,0.73,305.792
Kepler-1783 b,1,0.077,1.319,1.78,264.078
Kepler-1784 b,1,0.1072,2.799,0.97,883.045
Kepler-1785 b,1,0.1379,2.704,1,745.74
Kepler-1786 b,1,0.3659,3.163,1.4,863.909
Kepler-1787 b,1,0.227,2.319,0.93,778.602
Kepler-1788 b,1,0.0343,2.379,0.7,560.445
Kepler-1789 b,1,0.3543,2.831,0.89,611.461
Kepler-179 b,1,0.036,1.64,0.76,605.68
Kepler-179 c,1,0.064,2,0.76,605.68
Kepler-1790 b,1,0.197,3.145,1.37,1070.17
Kepler-1791 b,1,0.0761,3.121,1.18,602.218
Kepler-1792 b,1,0.0488,2.52,1.01,601.029
Kepler-1793 b,1,0.0787,3.79,0.76,1189.88
Kepler-1794 b,1,0.0821,1.794,0.82,561.229
Kepler-1795 b,1,0.1002,1.663,0.69,0
Kepler-1796 b,1,0.1879,2.75,0.95,825.883
Kepler-1797 b,1,0.1637,3.058,1.01,1338.49
Kepler-1798 b,1,0.1082,2.309,0.59,395.196
Kepler-1799 b,1,0.1028,4.128,0.92,2254.69
Kepler-18 b,1,0.0447,2,1.11,433.047
Kepler-18 c,1,0.0752,5.49,1.11,433.047
Kepler-18 d,1,0.1172,6.98,1.11,433.047
Kepler-180 b,1,0.109,1.5,1.06,695.65
Kepler-180 c,1,0.229,3.01,1.06,695.65
Kepler-1800 b,1,0.0592,0.997,2.51,350.455
Kepler-1801 b,1,0.0915,2.709,0.98,839.332
Kepler-1801 c,1,0.4572,2.91,0.98,839.332
Kepler-1802 b,1,0.0662,1.671,0.64,636.694
Kepler-1802 c,1,0.1748,2.322,0.64,636.694
Kepler-1804 b,1,0.1017,1.596,1.67,434.456
Kepler-1805 b,1,0.0699,1.545,0.55,221.639
Kepler-1806 b,1,0.0813,2.356,0.79,978.066
Kepler-1807 b,1,0.0988,2.704,1.5,1299.32
Kepler-1808 b,1,0.1467,3.025,0.89,1022.01
Kepler-1809 b,1,0.0435,1.513,0.72,409.602
Kepler-181 b,1,0.04,1.27,0.75,609.283
Kepler-181 c,1,0.049,1.99,0.75,609.283
Kepler-1810 b,1,0.4137,3.918,1.02,1009.87
Kepler-1811 b,1,0.3462,3.848,1.19,1390.56
Kepler-1812 b,1,0.0765,2.325,1.1,1409.19
Kepler-1813 b,1,0.0364,1.413,0.79,0
Kepler-1814 b,1,0.0371,2.37,0.82,726.346
Kepler-1814 c,1,0.0133,1.76,0.82,726.346
Kepler-1815 b,1,0.0984,2.749,0.97,1006.63
Kepler-1816 b,1,0.3648,1.968,0.71,437.823
Kepler-1817 b,1,0.2348,2.273,0.92,748.569
Kepler-1818 b,1,0.055,1.714,1.13,1034.59
Kepler-1819 b,1,0.1337,3.904,1.07,1363.19
Kepler-182 b,1,0.096,2.58,1.15,1549.09
Kepler-182 c,1,0.157,3.43,1.15,1549.09
Kepler-1820 b,1,0.1964,3.119,0.93,1425.39
Kepler-1821 b,1,0.1244,2.592,0.88,799.699
Kepler-1822 b,1,0.1416,2.648,0.7,897.597
Kepler-1823 b,1,0.1528,2.086,1.13,724.971
Kepler-1824 b,1,0.4267,2.381,1.08,1040.1
Kepler-1825 b,1,0.0187,1.422,0.85,430.254
Kepler-1826 b,1,0.0213,1.475,0.49,336.952
Kepler-1827 b,1,0.0455,1.856,1.4,686.461
Kepler-1828 b,1,0.0924,2.116,0.9,871.81
Kepler-1829 b,1,0.0559,2.479,0.78,679.921
Kepler-183 b,1,0.064,2.06,0.96,1050.64
Kepler-183 c,1,0.103,2.27,0.96,1050.64
Kepler-1830 b,1,0.3259,3.33,2.05,1056.88
Kepler-1831 b,1,0.0655,1.97,1.01,1053.49
Kepler-1832 b,1,0.037,1.227,0.72,486.174
Kepler-1833 b,1,0.0771,1.3,1.45,591.602
Kepler-1834 b,1,0.0496,1.459,0.79,500.395
Kepler-1834 c,1,0.015,1.22,0.79,500.395
Kepler-1835 b,1,0.0997,3.534,0.96,1404.38
Kepler-1836 b,1,0.0602,2.553,0.99,1472.62
Kepler-1837 b,1,0.065,2.067,0.96,1229.18
Kepler-1838 b,1,0.1096,1.66,1.96,451.242
Kepler-1839 b,1,0.0583,1.949,0.94,1136.6
Kepler-184 b,1,0.092,2.36,0.87,610.326
Kepler-184 c,1,0.141,1.97,0.87,610.326
Kepler-184 d,1,0.179,2.49,0.87,610.326
Kepler-1840 b,1,0.4644,2.778,0.8,513.107
Kepler-1841 b,1,0.1606,1.489,0.9,631.7
Kepler-1842 b,1,0.116,2.354,1.13,923.551
Kepler-1843 b,1,0.171,2.709,1.78,784.625
Kepler-1844 b,1,0.0478,3.036,0.85,1804.36
Kepler-1845 b,1,0.0885,2.438,0.7,710.724
Kepler-1846 b,1,0.1089,1.764,0.73,374.615
Kepler-1847 b,1,0.0989,2.745,0.96,1693.86
Kepler-1848 b,1,0.0563,1.409,0.74,309.696
Kepler-1849 b,1,0.2597,2.387,0.73,631.884
Kepler-185 b,1,0.026,1.17,0.81,466.735
Kepler-185 c,1,0.139,2.02,0.81,466.735
Kepler-1850 b,1,0.0206,0.729,0.6,250.199
Kepler-1851 b,1,0.1016,3.9,0.88,1589.81
Kepler-1852 b,1,0.0762,1.886,0.83,772.481
Kepler-1853 b,1,0.2395,1.519,0.79,562.348
Kepler-1854 b,1,0.2119,2.587,0.76,423.348
Kepler-1855 b,1,0.0115,1.216,0.36,0
Kepler-1856 b,1,0.0215,1.734,0.82,848.76
Kepler-1857 b,1,0.0807,1.961,1.01,853.275
Kepler-1858 b,1,0.3575,2.422,0.82,833.055
Kepler-1859 b,1,0.0394,1.583,1.24,1331.25
Kepler-1859 c,1,0.0473,1.66,1.24,1331.25
Kepler-186 b,1,0.0343,1.07,0.47,177.594
Kepler-186 c,1,0.0451,1.25,0.47,177.594
Kepler-186 d,1,0.0781,1.4,0.47,177.594
Kepler-186 e,1,0.11,1.27,0.47,177.594
Kepler-186 f,1,0.432,1.17,0.52,177.594
Kepler-1860 b,1,0.1021,1.139,0.87,438.703
Kepler-1861 b,1,0.2408,2.207,1.37,829.985
Kepler-1862 b,1,0.1199,2.203,0.81,1232.19
Kepler-1863 b,1,0.2555,2.263,0.98,865.546
Kepler-1864 b,1,0.0488,0.754,0.98,298.894
Kepler-1865 b,1,0.0344,1.577,0.87,922.255
Kepler-1866 b,1,0.1016,2.082,1.08,976.737
Kepler-1867 b,1,0.0872,1.16,0.82,680.583
Kepler-1868 b,1,0.6266,3.15,0.69,274.18
Kepler-1869 b,1,0.0791,1.12,0.9,113.025
Kepler-1869 c,1,0.028,0.74,0.9,113.025
Kepler-187 b,1,0.059,1.41,1.29,1143
Kepler-187 c,1,0.099,2.67,1.29,1143
Kepler-1870 b,1,0.0453,2.101,0.84,407.216
Kepler-1871 b,1,0.0308,2.422,0.95,854.623
Kepler-1872 b,1,0.0465,2.384,0.89,840.182
Kepler-1873 b,1,0.0128,1.626,0.79,820.957
Kepler-1874 b,1,0.2633,2.211,0.78,408.007
Kepler-1875 b,1,0.2039,3.227,0.86,1660.45
Kepler-1876 b,1,0.0758,0.853,1.48,259.935
Kepler-1877 b,1,0.0351,0.624,0.94,285.312
Kepler-1878 b,1,0.0521,2.92,0.86,1494.3
Kepler-1879 b,1,0.0953,2.065,1.39,627.171
Kepler-188 b,1,0.032,1.68,1.14,968.544
Kepler-188 c,1,0.066,3.19,1.14,968.544
Kepler-1880 b,1,0.054,2.117,0.53,611.041
Kepler-1881 b,1,0.5368,2.981,0.87,1057.21
Kepler-1882 b,1,0.1151,1.487,1.46,443.371
Kepler-1883 b,1,0.4438,3.251,1.02,1377.61
Kepler-1884 b,1,0.0845,1.814,0.91,1443.09
Kepler-1885 b,1,0.036,1.511,0.86,818.482
Kepler-1886 b,1,0.16,2.582,0.84,1059.51
Kepler-1887 b,1,0.1421,2.925,0.86,1366.18
Kepler-1888 b,1,0.0956,1.326,1.25,402.947
Kepler-1889 b,1,0.2082,2.944,0.82,1395.13
Kepler-189 b,1,0.088,1.21,0.75,591.534
Kepler-189 c,1,0.137,2.38,0.75,591.534
Kepler-1890 b,1,0.0563,0.869,1.4,529.596
Kepler-1891 b,1,0.0473,1.521,0.83,596.24
Kepler-1892 b,1,0.0633,1.837,0.76,851.595
Kepler-1893 b,1,0.0504,1.706,1.16,1050.72
Kepler-1894 b,1,0.0385,1.201,0.9,935.191
Kepler-1894 c,1,0.0576,1.21,0.9,935.191
Kepler-1895 b,1,0.0615,2.119,0.76,984.187
Kepler-1896 b,1,0.2529,3.099,1,1732.91
Kepler-1897 b,1,0.1546,2.814,0.76,983.174
Kepler-1898 b,1,0.0522,0.934,1.12,360.921
Kepler-1899 b,1,0.0457,1.551,0.74,711.509
Kepler-19 b,1,0.0846,2.209,0.86,218.562
Kepler-19 c,1,0.176574,3.68,0.86,218.562
Kepler-19 d,1,0,5.06,0.86,218.562
Kepler-190 b,1,0.03,1.56,0.8,433.387
Kepler-190 c,1,0.045,1.46,0.8,433.387
Kepler-1900 b,1,0.042,1.623,1.04,1540.43
Kepler-1901 b,1,0.0453,1.474,0.92,1028.37
Kepler-1902 b,1,0.0385,1.176,0.51,344.337
Kepler-1903 b,1,0.1321,2.286,1,1775.44
Kepler-1904 b,1,0.0436,1.39,0.5,270.854
Kepler-1905 b,1,0.0451,1.446,1.02,1051.53
Kepler-1906 b,1,0.0738,2.776,0.89,1360.63
Kepler-1907 b,1,0.0565,0.87,0.8,292.111
Kepler-1907 c,1,0.1076,1.155,0.8,292.111
Kepler-1909 b,1,0.0306,1.092,0.69,763.662
Kepler-191 b,1,0.087,1.34,0.79,594.464
Kepler-191 c,1,0.128,1.86,0.79,594.464
Kepler-191 d,1,0.0599,2.28,0.8,594.464
Kepler-1910 b,1,0.0536,1.184,0.64,0
Kepler-1911 b,1,0.0636,1.011,0.97,269.912
Kepler-1912 b,1,0.0646,1.357,0.96,297.017
Kepler-1913 b,1,0.1209,1.519,1.08,876.3
Kepler-1914 b,1,0.1954,2.943,0.96,1621.56
Kepler-1915 b,1,0.114,3.218,1.06,1514.66
Kepler-1916 b,1,0.2053,2.618,1.09,2055.82
Kepler-1917 b,1,0.103,1.89,0.79,909.037
Kepler-1918 b,1,0.2524,2.298,0.92,1030.11
Kepler-1919 b,1,0.2107,2.624,0.82,1177.53
Kepler-192 b,1,0.09,2.74,1.01,651.674
Kepler-192 c,1,0.15,2.79,1.01,651.674
Kepler-192 d,1,0.0668,1.02,0.94,651.674
Kepler-1920 b,1,0.2043,2.954,1.16,885.913
Kepler-1921 b,1,0.1557,2.895,2,928.989
Kepler-1921 c,1,0.0454,1.41,2,928.989
Kepler-1922 b,1,0.1077,2.291,0.86,1344.29
Kepler-1923 b,1,0.2846,1.96,1.29,990.838
Kepler-1924 b,1,0.1216,2.654,1.29,1910.77
Kepler-1925 b,1,0.2588,3.002,1.09,1771.31
Kepler-1926 b,1,0.2197,2.315,0.83,667.405
Kepler-1927 b,1,0.3859,3.406,2.48,1091
Kepler-1928 b,1,0.194,1.992,0.92,326.362
Kepler-1929 b,1,0.2987,3.073,1.47,508.201
Kepler-193 b,1,0.106,2.39,1.15,1009.1
Kepler-193 c,1,0.286,2.75,1.15,1009.1
Kepler-1930 b,1,0.1025,1.53,0.84,275.694
Kepler-1931 b,1,0.2356,2.653,1.22,620.091
Kepler-1932 b,1,0.0123,1.515,0.82,713.733
Kepler-1933 b,1,0.0561,1.18,1.01,328.007
Kepler-1934 b,1,0.0245,0.913,1.04,428.514
Kepler-1935 b,1,0.0463,2.503,0.9,904.702
Kepler-1936 b,1,0.5548,3.166,1.85,871.096
Kepler-1937 b,1,0.0943,3.023,1.2,905.069
Kepler-1938 b,1,0.0938,1.828,0.66,421.152
Kepler-1939 b,1,0.0334,1.165,0.6,189.833
Kepler-194 b,1,0.032,1.51,1.02,1097.97
Kepler-194 c,1,0.131,2.59,1.02,1097.97
Kepler-194 d,1,0.275,2.4,1.02,1097.97
Kepler-1940 b,1,0.0525,1.547,0.72,798.595
Kepler-1941 b,1,0.2054,2.65,1.14,1494.39
Kepler-1942 b,1,0.0516,2.117,0.8,842.492
Kepler-1943 b,1,0.0571,1.549,0.97,1004.55
Kepler-1944 b,1,0.0918,2.76,0.97,1076.48
Kepler-1945 b,1,0.0597,1.289,0.8,0
Kepler-1946 b,1,0.0394,2.488,0.87,1002.12
Kepler-1947 b,1,0.0711,1.01,1.69,468.771
Kepler-1948 b,1,0.1022,1.033,0.56,193.903
Kepler-1949 b,1,0.0352,2.22,1.45,2617.35
Kepler-195 b,1,0.077,2.03,0.78,652.051
Kepler-195 c,1,0.197,1.55,0.78,652.051
Kepler-1950 b,1,0.0871,1.527,0.85,697.253
Kepler-1951 b,1,0.1435,2.321,1.31,1277.32
Kepler-1952 b,1,0.1724,1.239,1.31,852.062
Kepler-1953 b,1,0.0607,1.286,0.71,605.631
Kepler-1954 b,1,0.0625,1.802,0.85,1373.83
Kepler-1955 b,1,0.117,1.167,1.29,449.351
Kepler-1956 b,1,0.0563,1.089,0.68,360.468
Kepler-1957 b,1,0.0299,0.944,0.77,460.899
Kepler-1958 b,1,0.0856,2.051,0.86,1320.38
Kepler-1959 b,1,0.0617,1.143,0.81,479.263
Kepler-196 b,1,0.138,1.9,0.78,451.312
Kepler-196 c,1,0.24,2.24,0.78,451.312
Kepler-196 d,1,0.4484,2.661,0.77,451.312
Kepler-1960 b,1,0.0354,1.307,1.07,1527.56
Kepler-1961 b,1,0.0588,1.619,0.78,1042.45
Kepler-1962 b,1,0.0783,1.215,1.01,866.826
Kepler-1963 b,1,0.0298,0.744,0.98,492.847
Kepler-1964 b,1,0.0322,1.781,0.7,0
Kepler-1965 b,1,0.2301,1.354,0.84,521.791
Kepler-1966 b,1,0.0763,1.105,0.84,484.601
Kepler-1967 b,1,0.0735,0.73,1.81,249.102
Kepler-1968 b,1,0.0696,1.5,0.79,750.93
Kepler-1969 b,1,0.0717,1.682,1.01,1204.54
Kepler-197 b,2,0.06,1.02,1.12,330.575
Kepler-197 c,2,0.09,1.23,1.12,330.575
Kepler-197 d,2,0.119,1.22,1.12,330.575
Kepler-197 e,2,0.164,0.91,1.12,330.575
Kepler-1972 b,1,0.0763,0.802,1.38,287.339
Kepler-1972 c,1,0.1041,0.868,1.38,287.339
Kepler-1976 b,1,0.0565,12.21,1.08,1314.51
Kepler-1977 b,1,0.0486,1.66,0.69,592.711
Kepler-1978 b,1,0.0914,2.67,0.78,865.512
Kepler-1979 b,1,0.1383,29.33,0.94,1076.27
Kepler-198 b,1,0.131,2.82,0.94,495.358
Kepler-198 c,1,0.259,2.47,0.94,495.358
Kepler-198 d,1,0.0229,1.53,0.93,495.358
Kepler-1980 b,1,0.2049,2.21,0.99,1709.4
Kepler-1981 b,1,1.3292,9.23,3.01,659.395
Kepler-1982 b,1,0.0511,0.77,1.12,558.855
Kepler-1983 b,1,0.0689,2.33,0.87,424.428
Kepler-1984 b,1,0.0238,6.81,0.42,0
Kepler-1985 b,1,0.0426,2.27,0.97,0
Kepler-1986 b,1,0.1307,1.89,0.73,912.085
Kepler-1987 b,1,0.0318,1.23,0.71,595.683
Kepler-1987 c,1,0.0427,1.33,0.71,595.683
Kepler-1987 d,1,0.0571,2.66,0.71,595.683
Kepler-1987 e,1,0.0765,1.92,0.71,595.683
Kepler-1988 b,1,0.1038,1.53,1.79,513.426
Kepler-1989 b,1,0.0918,4.62,1.06,1252.13
Kepler-199 b,1,0.158,3.11,0.97,521.054
Kepler-199 c,1,0.316,3.25,0.97,521.054
Kepler-1990 b,1,0.0286,3.27,1.07,392.739
Kepler-1990 c,1,0.0504,0.98,1.07,392.739
Kepler-1991 b,1,0.1065,1.47,1.05,855.82
Kepler-1991 c,1,0.1528,2.57,1.05,855.82
Kepler-1992 b,1,0.1169,0.91,0.84,532.955
Kepler-1993 b,1,0.1943,4.15,3.06,1031.91
Kepler-1994 b,1,0.053,0.51,0.96,241.991
Kepler-1995 b,1,0.3259,4.28,0.93,595.331
Kepler-1996 b,1,0.1789,2.26,0.68,440.561
Kepler-1996 c,1,0.3608,2.81,0.68,440.561
Kepler-1997 b,1,0.1815,2.28,1.05,1502.34
Kepler-1998 b,1,0.0405,0.6,0.92,340.965
Kepler-1999 b,1,0.0713,3.29,0.63,701.255
Kepler-20 b,2,0.04565,1.773,0.92,282.563
Kepler-20 c,2,0.0936,2.894,0.92,282.563
Kepler-20 d,2,0.3474,2.606,0.92,282.563
Kepler-20 e,2,0.0637,0.821,0.92,282.563
Kepler-20 f,2,0.1387,0.952,0.92,282.563
Kepler-20 g,2,0.2055,4.71,0.96,282.563
Kepler-200 b,1,0.08,2.13,0.94,665.912
Kepler-200 c,1,0.09,1.59,0.94,665.912
Kepler-2000 b,1,0.0562,2.73,0.58,320.588
Kepler-2000 c,1,0.1228,1.57,0.58,320.588
Kepler-2001 b,1,0.0197,1.04,0.77,776.55
Kepler-2001 c,1,0.1084,1.82,0.77,776.55
Kepler-201 b,1,0.175,2.46,1.23,636.445
Kepler-201 c,1,0.573,2.85,1.23,636.445
Kepler-202 b,1,0.045,1.63,0.67,285.111
Kepler-202 c,1,0.113,1.85,0.67,285.111
Kepler-203 b,1,0.043,2.57,1.11,703.302
Kepler-203 c,1,0.061,2.47,1.11,703.302
Kepler-203 d,1,0.1,1.44,1.11,703.302
Kepler-204 b,1,0.117,2.53,1.24,686.723
Kepler-204 c,1,0.173,1.79,1.24,686.723
Kepler-205 b,1,0.032,1.51,0.55,159.72
Kepler-205 c,1,0.122,1.64,0.55,159.72
Kepler-206 b,1,0.078,1.2,1.19,594.447
Kepler-206 c,1,0.111,1.77,1.19,594.447
Kepler-206 d,1,0.163,1.19,1.19,594.447
Kepler-207 b,1,0.029,1.57,1.59,875.519
Kepler-207 c,1,0.044,1.5,1.59,875.519
Kepler-207 d,1,0.068,3.31,1.59,875.519
Kepler-208 b,1,0.054,1.63,1.31,775.328
Kepler-208 c,1,0.079,1.39,1.31,775.328
Kepler-208 d,1,0.103,1.2,1.31,775.328
Kepler-208 e,1,0.132,1.48,1.31,775.328
Kepler-209 b,1,0.122,2.26,0.94,576.946
Kepler-209 c,1,0.231,3.1,0.94,576.946
Kepler-21 b,2,0.0434,1.639,1.9,108.522
Kepler-210 b,1,0.032,2.94,0.65,232.75
Kepler-210 c,1,0.07,3.62,0.65,232.75
Kepler-211 b,1,0.048,1.26,0.82,309.353
Kepler-211 c,1,0.062,1.29,0.82,309.353
Kepler-212 b,1,0.133,1.09,1.46,687.194
Kepler-212 c,1,0.207,2.74,1.46,687.194
Kepler-213 b,1,0.036,1.62,1.2,634.939
Kepler-213 c,1,0.057,2.34,1.2,634.939
Kepler-214 b,1,0.13,2.61,1.35,1208.44
Kepler-214 c,1,0.194,2.13,1.35,1208.44
Kepler-215 b,1,0.084,1.62,1.03,485.997
Kepler-215 c,1,0.113,1.77,1.03,485.997
Kepler-215 d,1,0.185,2.39,1.03,485.997
Kepler-215 e,1,0.314,1.75,1.03,485.997
Kepler-216 b,1,0.079,2.35,1.26,1187.47
Kepler-216 c,1,0.136,3.04,1.26,1187.47
Kepler-217 b,1,0.065,2.23,1.8,1104.64
Kepler-217 c,1,0.089,1.85,1.8,1104.64
Kepler-217 d,1,0.0505,1.32,1.76,1104.64
Kepler-218 b,1,0.046,1.48,1.06,656.38
Kepler-218 c,1,0.248,3.14,1.06,656.38
Kepler-218 d,1,0.4865,2.66,1.02,656.38
Kepler-219 b,1,0.057,2.95,1.49,787.07
Kepler-219 c,1,0.165,3.58,1.49,787.07
Kepler-219 d,1,0.272,2.81,1.49,787.07
Kepler-22 b,1,0.812,2.1,0.87,194.642
Kepler-220 b,1,0.046,0.81,0.67,171.109
Kepler-220 c,1,0.076,1.57,0.67,171.109
Kepler-220 d,1,0.163,0.98,0.67,171.109
Kepler-220 e,1,0.226,1.33,0.67,171.109
Kepler-221 b,1,0.037,1.71,0.82,385.231
Kepler-221 c,1,0.059,2.93,0.82,385.231
Kepler-221 d,1,0.087,2.73,0.82,385.231
Kepler-221 e,1,0.13,2.63,0.82,385.231
Kepler-222 b,1,0.048,3.16,0.87,758.854
Kepler-222 c,1,0.091,4.64,0.87,758.854
Kepler-222 d,1,0.18,3.69,0.87,758.854
Kepler-223 b,1,0.0756,2.99,1.72,1859.71
Kepler-223 c,1,0.0916,3.44,1.72,1859.71
Kepler-223 d,1,0.1201,5.24,1.72,1859.71
Kepler-223 e,1,0.1455,4.6,1.72,1859.71
Kepler-224 b,1,0.038,1.39,0.68,782.088
Kepler-224 c,1,0.058,3.12,0.68,782.088
Kepler-224 d,1,0.089,2.3,0.68,782.088
Kepler-224 e,1,0.124,1.97,0.68,782.088
Kepler-225 b,1,0.056,1.2,0.48,561.101
Kepler-225 c,1,0.111,1.84,0.48,561.101
Kepler-226 b,1,0.047,1.55,0.8,980.138
Kepler-226 c,1,0.058,2.27,0.8,980.138
Kepler-226 d,1,0.076,1.22,0.8,980.138
Kepler-227 b,1,0.09,3.11,1.09,1083.06
Kepler-227 c,1,0.29,3.04,1.09,1083.06
Kepler-228 b,1,0.038,1.53,1.01,1644.61
Kepler-228 c,1,0.052,2.7,1.01,1644.61
Kepler-228 d,1,0.101,4.04,1.01,1644.61
Kepler-229 b,1,0.062,2.2,0.73,826.265
Kepler-229 c,1,0.117,4.92,0.73,826.265
Kepler-229 d,1,0.22,3.85,0.73,826.265
Kepler-23 b,1,0.0733,1.638,1.55,835.756
Kepler-23 c,1,0.0965,3.005,1.55,835.756
Kepler-23 d,1,0.122,2.206,1.55,835.756
Kepler-230 b,1,0.191,4.26,0.82,740.754
Kepler-230 c,1,0.38,2.04,0.82,740.754
Kepler-231 b,1,0.074,1.73,0.49,316.618
Kepler-231 c,1,0.114,1.93,0.49,316.618
Kepler-232 b,1,0.054,3.08,0.97,1349.13
Kepler-232 c,1,0.101,3.83,0.97,1349.13
Kepler-233 b,1,0.077,2.43,0.76,856.417
Kepler-233 c,1,0.287,2.71,0.76,856.417
Kepler-234 b,1,0.04,3.7,1.11,1733.1
Kepler-234 c,1,0.077,3.51,1.11,1733.1
Kepler-235 b,1,0.037,2.23,0.55,428.018
Kepler-235 c,1,0.065,1.28,0.55,428.018
Kepler-235 d,1,0.122,2.05,0.55,428.018
Kepler-235 e,1,0.213,2.22,0.55,428.018
Kepler-236 b,1,0.065,1.57,0.51,288.763
Kepler-236 c,1,0.132,2,0.51,288.763
Kepler-237 b,1,0.05,1.41,0.72,657.822
Kepler-237 c,1,0.071,2.08,0.72,657.822
Kepler-238 b,1,0.034,1.73,1.43,1798.75
Kepler-238 c,1,0.069,2.39,1.43,1798.75
Kepler-238 d,1,0.115,3.07,1.43,1798.75
